Wells: 384		
Plates: 2		
Plate	Well	Content
*	*	sample
*	[A-P]01	empty
*	[A-P]24	empty
*	[A-D]02	siCON1
*	[E-H]02	allstar
*	[I-L]02	siCON2
*	[M-P]02	siPLK1
*	[A-D]23	siCON1
*	[E-H]23	allstar
*	[I-L]23	siCON2
*	[M-P]23	siPLK1
*	A03	empty
*	A04	empty
*	A05	empty
*	A06	empty
*	A07	empty
*	A08	empty
*	A09	empty
*	A10	empty
*	A11	empty
*	A12	empty
*	A13	empty
*	A14	empty
*	A15	empty
*	A16	empty
*	A17	empty
*	A18	empty
*	A19	empty
*	A20	empty
*	A21	empty
*	A22	empty
*	E12	empty
*	E13	empty
*	E14	empty
*	E15	empty
*	E16	empty
*	E17	empty
*	E18	empty
*	E19	empty
*	E20	empty
*	E21	empty
*	E22	empty
*	F03	empty
*	F04	empty
*	F05	empty
*	F06	empty
*	F07	empty
*	F08	empty
*	F09	empty
*	F10	empty
*	F11	empty
*	F12	empty
*	F13	empty
*	F14	empty
*	F15	empty
*	F16	empty
*	F17	empty
*	F18	empty
*	F19	empty
*	F20	empty
*	F21	empty
*	F22	empty
*	G03	empty
*	G04	empty
*	G05	empty
*	G06	empty
*	G07	empty
*	G08	empty
*	G09	empty
*	G10	empty
*	G11	empty
*	G12	empty
*	G13	empty
*	G14	empty
*	G15	empty
*	G16	empty
*	G17	empty
*	G18	empty
*	G19	empty
*	G20	empty
*	G21	empty
*	G22	empty
*	H03	empty
*	H04	empty
*	H05	empty
*	H06	empty
*	H07	empty
*	H08	empty
*	H09	empty
*	H10	empty
*	H11	empty
*	H12	empty
*	H13	empty
*	H14	empty
*	H15	empty
*	H16	empty
*	H17	empty
*	H18	empty
*	H19	empty
*	H20	empty
*	H21	empty
*	H22	empty
*	L12	empty
*	L13	empty
*	L14	empty
*	L15	empty
*	L16	empty
*	L17	empty
*	L18	empty
*	L19	empty
*	L20	empty
*	L21	empty
*	L22	empty
*	M03	empty
*	M04	empty
*	M05	empty
*	M06	empty
*	M07	empty
*	M08	empty
*	M09	empty
*	M10	empty
*	M11	empty
*	M12	empty
*	M13	empty
*	M14	empty
*	M15	empty
*	M16	empty
*	M17	empty
*	M18	empty
*	M19	empty
*	M20	empty
*	M21	empty
*	M22	empty
*	N03	empty
*	N04	empty
*	N05	empty
*	N06	empty
*	N07	empty
*	N08	empty
*	N09	empty
*	N10	empty
*	N11	empty
*	N12	empty
*	N13	empty
*	N14	empty
*	N15	empty
*	N16	empty
*	N17	empty
*	N18	empty
*	N19	empty
*	N20	empty
*	N21	empty
*	N22	empty
*	O03	empty
*	O04	empty
*	O05	empty
*	O06	empty
*	O07	empty
*	O08	empty
*	O09	empty
*	O10	empty
*	O11	empty
*	O12	empty
*	O13	empty
*	O14	empty
*	O15	empty
*	O16	empty
*	O17	empty
*	O18	empty
*	O19	empty
*	O20	empty
*	O21	empty
*	O22	empty
*	P03	empty
*	P04	empty
*	P05	empty
*	P06	empty
*	P07	empty
*	P08	empty
*	P09	empty
*	P10	empty
*	P11	empty
*	P12	empty
*	P13	empty
*	P14	empty
*	P15	empty
*	P16	empty
*	P17	empty
*	P18	empty
*	P19	empty
*	P20	empty
*	P21	empty
*	P22	empty
