plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	GeneID	Entrez_gene_ID
1	70	3.03	C22	sample	sample	396800	447490	401300	401300	415196.666666667	1.55	1.56	1.52	0.632	0.64	0.605	PDE4D	5144
1	214	2.49	I22	sample	sample	380760	388830	392300	388830	387296.666666667	1.49	1.35	1.49	0.572	0.438	0.573	GDA	9615
1	254	2.11	K14	sample	sample	391160	367430	369140	369140	375910	1.53	1.28	1.4	0.611	0.356	0.485	PYCR1	5831
1	64	2.06	C16	sample	sample	354620	373530	366020	366020	364723.333333333	1.38	1.3	1.39	0.47	0.38	0.473	NPR1	4881
1	47	2.02	B23	sicon1	sicon1	292320	385100	363880	363880	347100	1.14	1.34	1.38	0.191	0.424	0.464	NA	NA
1	86	1.99	D14	sample	sample	357410	382120	341980	357410	360503.333333333	1.4	1.33	1.3	0.481	0.412	0.375	PYCR1	5831
1	191	1.95	H23	allstar	allstar	318320	393930	359740	359740	357330	1.24	1.37	1.36	0.314	0.456	0.448	NA	NA
1	60	1.9	C12	sample	sample	360820	376780	356950	360820	364850	1.41	1.31	1.35	0.495	0.392	0.436	ITGB3BP	23421
1	37	1.86	B13	sample	sample	335380	344510	362330	344510	347406.666666667	1.31	1.2	1.37	0.389	0.263	0.458	CTPS2	56474
1	238	1.79	J22	sample	sample	362690	371340	314510	362690	349513.333333333	1.42	1.29	1.19	0.502	0.371	0.254	PDE4D	5144
1	69	1.78	C21	sample	sample	331260	331720	357690	331720	340223.333333333	1.29	1.16	1.36	0.371	0.208	0.439	PDE4A	5141
1	77	1.76	D05	sample	sample	330160	401320	298580	330160	343353.333333333	1.29	1.4	1.13	0.366	0.483	0.179	PDE6D	5147
1	54	1.75	C06	sample	sample	329900	387340	301070	329900	339436.666666667	1.29	1.35	1.14	0.365	0.432	0.191	GMPS	8833
1	66	1.72	C18	sample	sample	318100	373330	347120	347120	346183.333333333	1.24	1.3	1.32	0.313	0.379	0.396	NT5C3A	51251
1	95	1.61	D23	sicon1	sicon1	308790	361690	357430	357430	342636.666666667	1.21	1.26	1.35	0.27	0.333	0.438	NA	NA
1	2	1.61	A02	sicon1	sicon1	327390	348360	340810	340810	338853.333333333	1.28	1.21	1.29	0.354	0.279	0.37	NA	NA
1	46	1.61	B22	sample	sample	323080	373450	333070	333070	343200	1.26	1.3	1.26	0.335	0.379	0.336	GDA	9615
1	237	1.55	J21	sample	sample	320530	358820	329060	329060	336136.666666667	1.25	1.25	1.25	0.324	0.322	0.319	PDE4A	5141
1	23	1.54	A23	sicon1	sicon1	320010	351650	378850	351650	350170	1.25	1.22	1.44	0.321	0.293	0.522	NA	NA
1	71	1.53	C23	sicon1	sicon1	319730	359780	297080	319730	325530	1.25	1.25	1.13	0.32	0.326	0.171	NA	NA
1	33	1.51	B09	sample	sample	318580	315630	347960	318580	327390	1.24	1.1	1.32	0.315	0.137	0.4	ASNS	440
1	67	1.39	C19	sample	sample	308650	380980	329340	329340	339656.666666667	1.21	1.33	1.25	0.269	0.408	0.32	PAICS	10606
2	46	1.36	B22	sample	sample	546440	525530	451870	525530	507946.666666667	1.12	1.23	1.24	0.162	0.297	0.312	GDA	9615
2	2	1.35	A02	sicon1	sicon1	593750	520490	426800	520490	513680	1.22	1.22	1.17	0.282	0.283	0.23	NA	NA
1	29	1.35	B05	sample	sample	334370	345930	327150	334370	335816.666666667	1.31	1.2	1.24	0.385	0.269	0.311	ADCY3	109
2	29	1.33	B05	sample	sample	592100	535510	428250	535510	518620	1.21	1.25	1.18	0.278	0.324	0.235	ADCY3	109
1	26	1.29	B02	sicon1	sicon1	344510	327870	324100	327870	332160	1.35	1.14	1.23	0.428	0.192	0.297	NA	NA
1	93	1.26	D21	sample	sample	318560	344070	292840	318560	318490	1.24	1.2	1.11	0.315	0.261	0.151	SLC29A3	55315
1	143	1.22	F23	allstar	allstar	305560	355810	306600	306600	322656.666666667	1.19	1.24	1.16	0.255	0.31	0.217	NA	NA
2	37	1.21	B13	sample	sample	581340	544800	423590	544800	516576.666666667	1.19	1.27	1.16	0.252	0.349	0.219	CTPS2	56474
1	260	1.2	K20	sample	sample	321890	313350	319380	319380	318206.666666667	1.26	1.09	1.21	0.33	0.126	0.276	SLC29A1	2030
2	33	1.18	B09	sample	sample	601380	506760	415580	506760	507906.666666667	1.23	1.18	1.14	0.3	0.244	0.192	ASNS	440
2	214	1.12	I22	sample	sample	547690	502610	441310	502610	497203.333333333	1.12	1.17	1.21	0.166	0.232	0.278	GDA	9615
1	55	1.12	C07	sample	sample	301110	373390	302070	302070	325523.333333333	1.18	1.3	1.15	0.234	0.379	0.195	GOT1	2805
1	239	1.1	J23	sicon2	sicon2	300370	322070	318660	318660	313700	1.17	1.12	1.21	0.23	0.166	0.273	NA	NA
1	80	1.1	D08	sample	sample	301390	336240	307070	307070	314900	1.18	1.17	1.16	0.235	0.228	0.219	PFKM	5213
2	47	1.1	B23	sicon1	sicon1	530680	520790	433430	520790	494966.666666667	1.09	1.22	1.19	0.12	0.283	0.252	NA	NA
2	23	1.1	A23	sicon1	sicon1	533150	539290	433290	533150	501910	1.09	1.26	1.19	0.127	0.334	0.252	NA	NA
2	31	1.09	B07	sample	sample	589570	500340	430880	500340	506930	1.21	1.17	1.18	0.272	0.226	0.244	AK2	204
1	56	1.09	C08	sample	sample	299760	336960	309130	309130	315283.333333333	1.17	1.17	1.17	0.227	0.231	0.229	GOT2	2806
1	106	1.07	E10	sample	sample	330220	328110	312920	328110	323750	1.29	1.14	1.19	0.367	0.193	0.246	UCK1	83549
1	94	1.04	D22	sample	sample	302510	333150	291440	302510	309033.333333333	1.18	1.16	1.1	0.24	0.215	0.144	SLC2A6	11182
1	248	1.03	K08	sample	sample	297360	342540	230560	297360	290153.333333333	1.16	1.19	0.874	0.215	0.255	-0.194	PFKM	5213
2	254	1.03	K14	sample	sample	566640	501890	421220	501890	496583.333333333	1.16	1.17	1.16	0.215	0.23	0.211	PYCR1	5831
2	70	0.99	C22	sample	sample	557380	524060	425840	524060	502426.666666667	1.14	1.22	1.17	0.191	0.293	0.227	PDE4D	5144
1	45	0.98	B21	sample	sample	275130	330540	357130	330540	320933.333333333	1.07	1.15	1.35	0.103	0.203	0.437	GCLM	2730
2	30	0.98	B06	sample	sample	568510	492200	398870	492200	486526.666666667	1.16	1.15	1.1	0.219	0.202	0.132	ADCY9	115
2	56	0.95	C08	sample	sample	571790	490030	418010	490030	493276.666666667	1.17	1.15	1.15	0.228	0.196	0.2	GOT2	2806
1	81	0.93	D09	sample	sample	316900	301970	305980	305980	308283.333333333	1.24	1.05	1.16	0.307	0.073	0.214	PFKP	5214
1	287	0.92	L23	sicon2	sicon2	275730	348240	305300	305300	309756.666666667	1.08	1.21	1.16	0.106	0.278	0.211	NA	NA
1	223	0.92	J07	sample	sample	256000	331060	305280	305280	297446.666666667	1	1.15	1.16	-0.001	0.205	0.211	GOT1	2805
1	167	0.88	G23	allstar	allstar	288690	386340	303270	303270	326100	1.13	1.35	1.15	0.173	0.428	0.201	NA	NA
1	82	0.85	D10	sample	sample	296770	297000	302270	297000	298680	1.16	1.03	1.15	0.213	0.049	0.196	PPAT	5471
2	143	0.85	F23	allstar	allstar	507280	491880	416440	491880	471866.666666667	1.04	1.15	1.14	0.055	0.201	0.195	NA	NA
1	91	0.82	D19	sample	sample	296710	323140	297380	297380	305743.333333333	1.16	1.13	1.13	0.212	0.171	0.173	SLC25A12	8604
1	119	0.82	E23	allstar	allstar	297120	322880	280750	297120	300250	1.16	1.12	1.06	0.214	0.169	0.09	NA	NA
2	26	0.81	B02	sicon1	sicon1	578020	466660	413870	466660	486183.333333333	1.18	1.09	1.14	0.243	0.125	0.186	NA	NA
2	32	0.81	B08	sample	sample	548740	485050	394270	485050	476020	1.12	1.13	1.08	0.168	0.181	0.116	AK7	122481
1	85	0.8	D13	sample	sample	287490	298440	320750	298440	302226.666666667	1.12	1.04	1.22	0.167	0.056	0.282	PSPH	5723
2	60	0.79	C12	sample	sample	548600	479260	365480	479260	464446.666666667	1.12	1.12	1	0.168	0.164	0.006	ITGB3BP	23421
2	191	0.78	H23	allstar	allstar	483280	478300	422060	478300	461213.333333333	0.99	1.12	1.16	-0.015	0.161	0.214	NA	NA
2	66	0.77	C18	sample	sample	527240	478380	411720	478380	472446.666666667	1.08	1.12	1.13	0.111	0.161	0.178	NT5C3A	51251
2	238	0.77	J22	sample	sample	546060	470040	433930	470040	483343.333333333	1.12	1.1	1.19	0.161	0.136	0.254	PDE4D	5144
1	43	0.77	B19	sample	sample	257410	335520	298160	298160	297030	1.01	1.17	1.13	0.007	0.225	0.177	GART	2618
1	263	0.77	K23	sicon2	sicon2	268430	337900	298020	298020	301450	1.05	1.18	1.13	0.068	0.235	0.176	NA	NA
2	62	0.76	C14	sample	sample	546380	477150	382910	477150	468813.333333333	1.12	1.12	1.05	0.162	0.157	0.073	NME4	4833
2	229	0.75	J13	sample	sample	544550	478960	381680	478960	468396.666666667	1.12	1.12	1.05	0.157	0.163	0.069	NME1	4830
1	89	0.74	D17	sample	sample	259030	336500	296670	296670	297400	1.01	1.17	1.12	0.016	0.229	0.169	SERINC3	10955
2	61	0.74	C13	sample	sample	543130	478640	381380	478640	467716.666666667	1.11	1.12	1.05	0.153	0.162	0.068	NME1	4830
